Rank,Team,Conference,GP,W,L,WIN%,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,Golden State Warriors,W,22,16,6,72.7,48,111.9,41.4,86.1,48,14,37.3,37.5,15.1,19.8,76.6,9.8,34.1,43.9,27,14.5,7.7,5,4.9,21.5,19.3,5
2,Miami Heat,E,18,11,7,61.1,48,104.2,38,85.3,44.5,10.9,34.8,31.3,17.3,21.6,80.4,9.8,31.2,41.1,21.9,12.9,8.3,3.7,4.6,21.4,21.4,3.8
3,Boston Celtics,E,24,14,10,58.3,48,105.5,36.7,81.8,44.9,13.7,36.6,37.3,18.5,23.2,79.7,9,33.9,42.9,24.5,14.7,6.4,6.3,4.7,20.7,21.7,3.6
3,Milwaukee Bucks,E,12,7,5,58.3,48,102.8,38.5,88,43.8,10.6,32.3,32.7,15.2,20.8,73.1,9.8,40.7,50.4,20.8,13.8,6.3,4.5,5.5,19.1,20.1,1.5
5,Phoenix Suns,W,13,7,6,53.8,48,107.6,41.2,82.8,49.7,9.8,27.2,36.3,15.5,18.9,81.7,9.5,30.7,40.2,25.7,13.3,6.6,3.8,3,22.5,21.2,-1
6,Dallas Mavericks,W,18,9,9,50,48,106.3,36.3,80.8,44.9,15.8,41.5,38,18,23.3,77.1,6.5,30,36.5,19.2,10.2,7.2,2.8,3.6,21.1,22.1,0.7
6,Memphis Grizzlies,W,12,6,6,50,48,112.5,39.8,91.3,43.5,13.1,35.8,36.5,19.9,27.1,73.5,12.4,33.4,45.8,25.2,14,9.2,6.1,6.8,20.8,23.8,2.4
6,Philadelphia 76ers,E,12,6,6,50,48.4,104.5,36.4,78.3,46.5,12.4,33.3,37.3,19.3,22.7,84.9,7.7,31.3,39,21.8,14.8,6.1,4.3,4.2,20.6,20.5,0.3
9,Minnesota Timberwolves,W,6,2,4,33.3,48,109.2,36.3,82,44.3,13.8,35.7,38.8,22.7,28,81,7,33,40,22.8,17.7,8.2,7.8,6.2,26.8,23.2,-5.5
9,New Orleans Pelicans,W,6,2,4,33.3,48,109.8,39,84.3,46.2,9.3,26.3,35.4,22.5,28.8,78,15.2,30.5,45.7,21.3,14.5,6.3,3.5,4,21.2,22.7,-1.5
9,Toronto Raptors,E,6,2,4,33.3,48.8,103.2,38.3,86,44.6,9.8,32.8,29.9,16.7,21,79.4,10,27.5,37.5,20.7,10,6.7,4.8,4.8,22.2,20.3,-8.3
9,Utah Jazz,W,6,2,4,33.3,48,99,35,79,44.3,8.2,29.8,27.4,20.8,26.5,78.6,9.3,35.5,44.8,17.2,11.7,4,3.7,2.3,22,23.2,-5.7
13,Atlanta Hawks,E,5,1,4,20,48,97.4,34.4,78.2,44,11.4,35,32.6,17.2,22,78.2,8.6,30.8,39.4,18.6,16.4,5.8,2.4,3,21.6,23.4,-12
13,Chicago Bulls,E,5,1,4,20,48,95.2,36.4,90.2,40.4,10.4,36.8,28.3,12,14.4,83.3,8.2,35.8,44,23,13,7.8,3.2,4.8,18.6,17.8,-14.6
13,Denver Nuggets,W,5,1,4,20,48,110,39.4,82.8,47.6,11.2,31.4,35.7,20,25.2,79.4,11.2,30.6,41.8,25,16.4,7,3.4,6.2,25,23.2,-8
16,Brooklyn Nets,E,4,0,4,0,48,109,39.3,78,50.3,11.5,27.3,42.2,19,25.8,73.8,8.5,25.5,34,22.3,15.3,8,6.5,4,24.8,24.5,-4.5
